ID,Sender,Subject,Tag,Action,Type,Attachment,Received_At,Is_New
,Elon Musk,Meeting about Mars,Urgent ❗,Prepare Presentation,Single,,,False
,Ranga Sai Yashwanth,Productivity 10-12-2025,Normal,Confidential,Single,,,False
,Sally Kelly,Deferred comp forms requiring signature,Confidential 🕵️,Approval needed,Single,PDF,,False
,Global Office,Statistics report deadline Nov 25,Urgent ❗,Provide report,Single,,,False
,Rinku Singh,System onboarding prep urgent coordination,Urgent ❗,Confirm readiness,Thread,XLS,,False
,Rinku Singh,Invoice discrepancies discussion,Normal,Approve revised invoice,Thread,PDF,,False
,Sai,AI workflow project kickoff,Normal,Confirm project scope,Thread,DOC,,False
,Clinical Team,Fibroscan rollout coordination,Normal,Approve rollout plan,Thread,XLS,,False
,Rinku,Payment issue,Normal,Review email,Single,,,False
,Sally (HR Director),Executive Bonus Structure Draft,Normal,Review email,Single,,,False
,HDFC Bank InstaAlerts <alerts@hdfcbank.net>,❗  You have done a UPI txn. Check details!,Normal,Review,Single,,,False
,Upstox <donotreply@transactions.upstox.com>,For your records: CDSL Letter,Normal,Review,Single,,,False
,Google <no-reply@accounts.google.com>,Security alert,Urgent ❗,Check and secure your account now.,Thread,,,False
,=?UTF-8?B?RGlzY292ZXIgQ2FyZA==?= <discover@card-e.em.discover.com>,Urgent: Important Notification,Urgent ❗,Open,Thread,,,False
,HDFC Bank InstaAlerts <alerts@hdfcbank.net>,❗  You have done a UPI txn. Check details!,Normal,Review,Single,,,False
,LinkedIn <messages-noreply@linkedin.com>,Please add Manideep Vattigunta to your LinkedIn network.,Urgent ❗,Add connection,Thread,,,False
,Netflix <info@members.netflix.com>,A Quiet Place: Day One,Urgent ❗,Follow up,Thread,,,False
,LinkedIn <updates-noreply@linkedin.com>,HR Muskan Sen recently posted about a job opening at PhonePe.,Urgent ❗,Read more,Thread,,,False
,Bhavani Tungala via LinkedIn <messages-noreply@linkedin.com>,Inmail Digest,Urgent ❗,Unsubscribe,Thread,,,False
,Karya Siddhi Hanuman Temple <news@dallashanuman.org>,THU: Pradhana Anaghastami Vrata - Reserve your slot now,Normal,Review,Single,,,False
,Inbox Zero <elie@loops.getinboxzero.com>,"The founder of Inbox Zero, Elie Steinbock, introduces a unique approach to managing emails.",Urgent ❗,Install the Chrome extension,Thread,,,False
,Paytm Money <alerts@paytmmoney.com>,Important: Your investment account with email &lt;b101aa404235@gmail.com&gt; is registered to get updates from Paytm Money.,Urgent ❗,,Thread,,,False
,Adrian - MailMaestro <noreply@maestrolabs.com>,"Sai, your AI email assistant is ready  🪄",Normal,Review,Single,,,False
,Google <no-reply@accounts.google.com>,Google Security Alert: Account Password Removed,Urgent ❗,Check and Secure Your Account,Thread,,,False
,Google <no-reply@accounts.google.com>,Google Security Alert,Urgent ❗,Check and secure your account now.,Thread,,,False
,"""MSCI Careers"" <msci@nurture.icims.com>",Urgent: Check your job application for MSCI.,Urgent ❗,Review,Thread,,,False
,HDFC Bank InstaAlerts <alerts@hdfcbank.net>,❗  You have done a UPI txn. Check details!,Normal,Review,Single,,,False
,"""Chase"" <no_reply@mcmap.chase.com>",Sai's request to open a Chase Savings account for automated transfers.,Urgent ❗,Request,Thread,,,False
559ed349-1c56-47e7-9b8d-4f4d8fe7d7ce,"Microsoft account team
	<account-security-noreply@accountprotection.microsoft.com>",New app(s) connected to your Microsoft account,Normal,Review,Single,,2025-12-11T18:28:22.751991+00:00,False
a723b2dd-d6ea-452b-b69d-4e7235539b37,Paytm Money <alerts@paytmmoney.com>,Important: Your investment account is registered to receive updates from Paytm Money.,Urgent ❗,Get Updates,Thread,,2025-12-11T18:28:43.782105+00:00,False
b13c10b0-18b5-476a-b47a-600da9ec089c,Perplexity <team@mail.perplexity.ai>,Browse smarter with Comet for Android.,Urgent ❗,See what Comet for Android can do,Thread,,2025-12-11T18:28:51.528145+00:00,False
81618ac1-f6cb-46e4-893c-bfa2be46e4d7,"Microsoft account team
	<account-security-noreply@accountprotection.microsoft.com>",New app(s) connected to your Microsoft account,Normal,Review,Single,,2025-12-11T19:23:53.949732+00:00,True
6c8619b7-7b1b-45df-b2a5-979bc98a37c8,Karya Siddhi Hanuman Temple <news@dallashanuman.org>,Reminder: Pradhana Anaghastami Vrata - Tonight,Normal,Review,Single,,2025-12-11T19:23:58.652407+00:00,True
ca13348a-c132-4348-a05b-6502be03fea5,HDFC Bank InstaAlerts <alerts@hdfcbank.net>,❗  You have done a UPI txn. Check details!,Normal,Review,Single,,2025-12-11T19:24:19.149276+00:00,True
ee20c926-b3f3-4616-b988-667b3d45f371,"""Amazon.in"" <store-news@amazon.in>",We found something you might like,Urgent ❗,continue shopping,Thread,,2025-12-11T19:27:18.866317+00:00,True
98fc63ad-a14a-4c21-8157-a723e3675f30,"""IKEA Family"" <ikea@news.email.ikea.in>",Important: Please return only urgent items.,Urgent ❗,return,Thread,,2025-12-11T19:27:37.696221+00:00,True
ba5bb6fe-4a9a-403b-89e7-f84a62c46bea,=?UTF-8?B?UGF5dG0gT2ZmZXJz?= <noreply@paytmoffers.in>,Upgraded Offer! Especially for you,Normal,Review,Single,,2025-12-11T19:27:50.336727+00:00,True
d3e905bd-30b5-4af1-b28f-c96bfd2cf168,IMDb <do-not-reply@imdb.com>,"The best movies, shows, and stars of 2025",,Unsubscribe,Thread,,2025-12-11T19:31:24.697471+00:00,True
4f8e251e-08b6-4117-881c-5ce0e86cf81f,HDFC Bank InstaAlerts <alerts@hdfcbank.net>,❗  You have done a UPI txn. Check details!,Normal,Review,Single,,2025-12-11T19:31:40.549179+00:00,True
3c34dbb0-cb8a-46f4-bd1d-287bba67da5b,=?UTF-8?B?UGF5dG0gTW9uZXk=?= <mail@email.paytmmoney.com>,Investing advice: Pay Later (MTF) at 7.99% p.a.,Urgent ❗,Share this email with your network to alert them.,Thread,None,2025-12-11T19:31:45.815362+00:00,True
